timestamp,flightId,fid,airline,airport,airportCode,direction,scheduled,estimated,status,passengerOrCargo,typeOfFlight,terminalId,gateNumber,fstandPosition,chkinRange,codeshare,aircraftSubtype,aircraftRegNo
2025-07-16 18:14:50,5J188Y,2025070900000006759828,세부퍼시픽항공,마닐라,MNL,도착,202507160005,202507160021,도착,Passenger,I,P02,111,111,,Master,320,RPC4101
2025-07-16 18:14:50,OM309,2025071000000006762789,몽골항공,신 울란바토르,UBN,도착,202507160040,202507160027,도착,Passenger,I,P01,24,24,,Master,738,JU1015
2025-07-16 18:14:50,KE5840,2025071000000006763494,대한항공,신 울란바토르,UBN,도착,202507160040,202507160027,도착,Passenger,I,P01,24,24,,Slave,738,JU1015
2025-07-16 18:14:50,VJ974,2025071000000006762288,비엣젯항공,푸꾸옥,PQC,도착,202507160045,202507160045,도착,Passenger,I,P02,109,109,,Master,321,VNA545
2025-07-16 18:14:50,VJ978,2025071000000006762287,비엣젯항공,푸꾸옥,PQC,도착,202507160110,202507160123,도착,Passenger,I,P02,110,110,,Master,32Q,VNA525
2025-07-16 18:14:50,VJ838,2025071000000006762285,비엣젯항공,나트랑,CXR,도착,202507160050,202507160141,도착,Passenger,I,P02,107,107,,Master,321,VNA522
2025-07-16 18:14:50,UO614,2025071000000006762321,홍콩익스프레스,홍콩,HKG,도착,202507160140,202507160146,도착,Passenger,I,P02,113,113,,Master,32Q,BKKA
2025-07-16 18:14:50,OZ211,2025071000000006763190,아시아나항공,샌프란시스코,SFO,도착,202507160400,202507160307,도착,Passenger,I,P01,24,24,,Master,359,HL7771
2025-07-16 18:14:50,SQ5711,2025071000000006763556,싱가포르항공,샌프란시스코,SFO,도착,202507160400,202507160307,도착,Passenger,I,P01,24,24,,Slave,359,HL7771
2025-07-16 18:14:50,TG6744,2025071000000006763557,타이항공,샌프란시스코,SFO,도착,202507160400,202507160307,도착,Passenger,I,P01,24,24,,Slave,359,HL7771
2025-07-16 18:14:50,UA7290,2025071000000006763558,유나이티드항공,샌프란시스코,SFO,도착,202507160400,202507160307,도착,Passenger,I,P01,24,24,,Slave,359,HL7771
2025-07-16 18:14:50,OZ203,2025071000000006763253,아시아나항공,로스앤젤레스,LAX,도착,202507160400,202507160308,도착,Passenger,I,P01,10,10,,Master,388,HL7626
2025-07-16 18:14:50,TG6742,2025071000000006763554,타이항공,로스앤젤레스,LAX,도착,202507160400,202507160308,도착,Passenger,I,P01,10,10,,Slave,388,HL7626
2025-07-16 18:14:50,UA7288,2025071000000006763555,유나이티드항공,로스앤젤레스,LAX,도착,202507160400,202507160308,도착,Passenger,I,P01,10,10,,Slave,388,HL7626
2025-07-16 18:14:50,CM8003,2025071000000006763552,코파항공,로스앤젤레스,LAX,도착,202507160400,202507160308,도착,Passenger,I,P01,10,10,,Slave,388,HL7626
2025-07-16 18:14:50,SQ5703,2025071000000006763553,싱가포르항공,로스앤젤레스,LAX,도착,202507160400,202507160308,도착,Passenger,I,P01,10,10,,Slave,388,HL7626
2025-07-16 18:14:50,KE164,2025071000000006762097,대한항공,장가계,DYG,도착,202507160405,202507160331,도착,Passenger,I,P03,246,246,,Master,739,HL8273
2025-07-16 18:14:50,ZE872,2025071100000006766994,이스타항공,상하이/푸동,PVG,도착,202507160330,202507160332,도착,Passenger,I,P02,118,118,,Master,738,HL8545
2025-07-16 18:14:50,YP104,2025071000000006762300,에어프레미아,로스앤젤레스,LAX,도착,202507160450,202507160338,도착,Passenger,I,P01,22,22,,Master,789,HL8702
2025-07-16 18:14:50,OZ177,2025071000000006762746,아시아나항공,도쿄/하네다,HND,도착,202507160410,202507160341,도착,Passenger,I,P01,20,20,,Master,32Q,HL8371
